loggingTime;loggingSample;identifierForVendor;deviceID;locationTimestamp_since1970;locationLatitude;locationLongitude;locationAltitude;locationSpeed;locationCourse;locationVerticalAccuracy;locationHorizontalAccuracy;locationFloor;locationHeadingTimestamp_since1970;locationHeadingX;locationHeadingY;locationHeadingZ;locationTrueHeading;locationMagneticHeading;locationHeadingAccuracy;accelerometerTimestamp_sinceReboot;accelerometerAccelerationX;accelerometerAccelerationY;accelerometerAccelerationZ;gyroTimestamp_sinceReboot;gyroRotationX;gyroRotationY;gyroRotationZ;magnetometerTimestamp_sinceReboot;magnetometerX;magnetometerY;magnetometerZ;motionTimestamp_sinceReboot;motionYaw;motionRoll;motionPitch;motionRotationRateX;motionRotationRateY;motionRotationRateZ;motionUserAccelerationX;motionUserAccelerationY;motionUserAccelerationZ;motionAttitudeReferenceFrame;motionQuaternionX;motionQuaternionY;motionQuaternionZ;motionQuaternionW;motionGravityX;motionGravityY;motionGravityZ;motionMagneticFieldX;motionMagneticFieldY;motionMagneticFieldZ;motionMagneticFieldCalibrationAccuracy;activityTimestamp_sinceReboot;activity;activityActivityConfidence;activityActivityStartDate;altimeterTimestamp_sinceReboot;altimeterReset;altimeterRelativeAltitude;altimeterPressure;IP_en0;IP_pdp_ip0;deviceOrientation;batteryState;batteryLevel;avAudioRecorderPeakPower;avAudioRecorderAveragePower;label
1556984808.861465;1;0;0;1556984803.98652;4.403301892085986;-75.1471950018358;963.3562;-1;-1;10;65;-9999;1556984808.832406;27.99913787841797;-2.702236175537109;29.4224853515625;322.9624938964844;329.736328125;125;86172.6665525;0.0148162841796875;0.99298095703125;-0.06085205078125;86172.65950350001;-0.00492951117773667;0.00833249841863992;0.009741310635291838;86172.66362250001;49.98858642578125;50.97247314453125;-414.3927612304688;86172.6585265;2.242405139627064;0.1431268029066271;-1.494374159901522;-0.005236227065324783;-0.001465459819883108;-0.0008652764372527599;0.005421459674835205;-0.003326177597045898;0.008455097675323486;2;-0.3418300151824951;-0.5876808166503906;0.6378916501998901;0.3617702722549438;0.01089012715965509;0.9970812201499939;-0.07556699961423874;27.99913787841797;-2.702236175537109;29.4224853515625;2;86170.0171615;2;0;1556984806.204619;86169.65317600001;0;0.1453247;90.53242;3232235846;179021379;2;1;0.37;-16.27449;-27.60798;0
1556984808.862917;2;0;0;1556984803.98652;4.403301892085986;-75.1471950018358;963.3562;-1;-1;10;65;-9999;1556984808.832406;27.99913787841797;-2.702236175537109;29.4224853515625;322.9624938964844;329.736328125;125;86172.67656250001;0.01702880859375;0.9931182861328125;-0.0751495361328125;86172.6695435;-0.009757023285723304;0.008321046825952579;0.009951167729190082;86172.66362250001;49.98858642578125;50.97247314453125;-414.3927612304688;86172.66856650001;2.242561265043953;0.1433144066964435;-1.494331653322823;0.006192645989358425;0.005907284561544657;0.001187499612569809;0.003890693187713623;-0.004253685474395752;0.01433873176574707;2;-0.3418381214141846;-0.5876592993736267;0.6379011869430542;0.3617807030677795;0.01091029774397612;0.997078001499176;-0.07560649514198303;27.64997863769531;-2.721721649169922;29.71279907226562;2;86170.0171615;2;0;1556984806.204619;86169.65317600001;0;0.1453247;90.53242;3232235846;179021379;2;1;0.37;-16.27449;-27.60798;0
1556984808.869538;3;0;0;1556984803.98652;4.403301892085986;-75.1471950018358;963.3562;-1;-1;10;65;-9999;1556984808.863863;27.64997863769531;-2.721721649169922;29.71279907226562;322.9631958007812;329.7370300292969;125;86172.68660250001;0.0184478759765625;0.9941253662109375;-0.0789794921875;86172.6795535;-0.01346946984529376;0.003809119307140335;0.005586779334768226;86172.6830935;50.07469177246094;50.94749450683594;-414.326904296875;86172.67857650001;2.242598825672913;0.1433368441554463;-1.49436412776541;-0.004629375413060188;-0.002241455484181643;-0.001001885160803795;0.00705188512802124;-0.003599762916564941;-0.003528714179992676;2;-0.3418388366699219;-0.58767169713974;0.6378943920135498;0.3617721199989319;0.0109076825901866;0.9970805048942566;-0.07557637244462967;27.64997863769531;-2.721721649169922;29.71279907226562;2;86170.0171615;2;0;1556984806.204619;86169.65317600001;0;0.1453247;90.53242;3232235846;179021379;2;1;0.37;-16.27449;-27.60798;0
1556984808.882403;4;0;0;1556984803.98652;4.403301892085986;-75.1471950018358;963.3562;-1;-1;10;65;-9999;1556984808.863863;27.64997863769531;-2.721721649169922;29.71279907226562;322.9631958007812;329.7370300292969;125;86172.6966125;0.014617919921875;0.9931793212890625;-0.0643157958984375;86172.6895625;-0.007739678759988282;0.01020656487772868;0.009467803991340699;86172.6830935;50.07469177246094;50.94749450683594;-414.326904296875;86172.68858650001;2.242658091293685;0.1433935516739825;-1.494371202009924;-0.0002899803221225739;-0.001060004811733961;0.0006831502541899681;0.006621569395065308;-0.003203630447387695;0.0001854300498962402;2;-0.341840386390686;-0.587674617767334;0.6378928422927856;0.3617684841156006;0.01091075967997313;0.9970810413360596;-0.07556738704442978;27.76093673706055;-2.728336334228516;29.76943969726562;2;86170.0171615;2;0;1556984806.204619;86169.65317600001;0;0.1453247;90.53242;3232235846;179021379;2;1;0.37;-16.27449;-28.28597;0
1556984808.889845;5;0;0;1556984803.98652;4.403301892085986;-75.1471950018358;963.3562;-1;-1;10;65;-9999;1556984808.884766;27.76093673706055;-2.728336334228516;29.76943969726562;322.9634704589844;329.7373046875;125;86172.7066225;0.0183258056640625;0.9932708740234375;-0.0759124755859375;86172.6995725;-0.01014185006323975;0.006237389589074584;0.008846222192916206;86172.7025635;49.81355285644531;50.91879272460938;-414.7202758789062;86172.69859650001;2.24268494932726;0.1434397462096011;-1.494352355002284;0.002598484046757221;0.002423676662147045;-0.0009504323825240135;0.004234880208969116;-0.003949820995330811;0.01054990291595459;2;-0.3418447077274323;-0.587664008140564;0.6378960013389587;0.3617761731147766;0.01091707218438387;0.997079610824585;-0.07558641582727432;27.76093673706055;-2.728336334228516;29.76943969726562;2;86170.0171615;2;0;1556984806.204619;86169.65317600001;0;0.1453247;90.53242;3232235846;179021379;2;1;0.37;-16.27449;-28.28597;0
1556984808.899602;6;0;0;1556984803.98652;4.403301892085986;-75.1471950018358;963.3562;-1;-1;10;65;-9999;1556984808.884766;27.76093673706055;-2.728336334228516;29.76943969726562;322.9634704589844;329.7373046875;125;86172.71663150001;0.0175323486328125;0.99359130859375;-0.07342529296875;86172.70961250001;-0.01033066818452637;0.004293015677207732;0.007928230565165893;86172.7025635;49.81355285644531;50.91879272460938;-414.7202758789062;86172.7086365;2.242623408039413;0.1433560776756279;-1.494365492531689;-0.002535354346036911;-0.003097806591540575;-0.002092116046696901;0.00793573260307312;-0.003584623336791992;-0.002173066139221191;2;-0.3418378829956055;-0.5876732468605042;0.6378949284553528;0.3617694675922394;0.01090882811695337;0.9970805644989014;-0.07557403296232224;27.64485168457031;-2.765819549560547;29.49142456054688;2;86170.0171615;2;0;1556984806.204619;86169.65317600001;0;0.1453247;90.53242;3232235846;179021379;2;1;0.37;-16.27449;-28.28597;0
1556984808.90967;7;0;0;1556984803.98652;4.403301892085986;-75.1471950018358;963.3562;-1;-1;10;65;-9999;1556984808.905867;27.69704437255859;-2.707424163818359;29.31918334960938;322.9624938964844;329.736328125;125;86172.72667250001;0.014556884765625;0.9936065673828125;-0.067291259765625;86172.71962250001;-0.006037918823427649;0.008759935773597639;0.009068063511719807;86172.72200350001;49.91435241699219;50.99888610839844;-414.8858032226562;86172.71864650001;2.242639043095368;0.1433707295829225;-1.494359591878226;-0.0006261337548494339;0.0001975889317691326;0.000113779678940773;0.005675613880157471;-0.003477156162261963;0.004545986652374268;2;-0.3418371081352234;-0.5876715779304504;0.6378969550132751;0.3617692589759827;0.01091067865490913;0.9970801472663879;-0.07557901740074158;27.64485168457031;-2.765819549560547;29.49142456054688;2;86170.0171615;2;0;1556984806.204619;86169.65317600001;0;0.1453247;90.53242;3232235846;179021379;2;1;0.37;-16.27449;-28.70078;0
1556984808.919606;8;0;0;1556984803.98652;4.403301892085986;-75.1471950018358;963.3562;-1;-1;10;65;-9999;1556984808.905867;27.69704437255859;-2.707424163818359;29.31918334960938;322.9624938964844;329.736328125;125;86172.73668250001;0.017333984375;0.9939422607421875;-0.076324462890625;86172.72963250001;-0.01200233440076911;0.006017146166925031;0.006588926852965043;86172.72200350001;49.91435241699219;50.99888610839844;-414.8858032226562;86172.7286555;2.24261859638938;0.1433596735984041;-1.494335676932828;0.003575069364160299;0.001422167290002108;5.580577999353409e-05;0.003918230533599854;-0.003536343574523926;0.00673675537109375;2;-0.3418363332748413;-0.5876618027687073;0.6379027962684631;0.3617756068706512;0.01091329474002123;0.9970782995223999;-0.07560305297374725;27.69704437255859;-2.707424163818359;29.31918334960938;2;86170.0171615;2;0;1556984806.204619;86169.65317600001;0;0.1453247;90.53242;3232235846;179021379;2;1;0.37;-16.27449;-28.70078;0
1556984808.929634;9;0;0;1556984803.98652;4.403301892085986;-75.1471950018358;963.3562;-1;-1;10;65;-9999;1556984808.905867;27.69704437255859;-2.707424163818359;29.31918334960938;322.9624938964844;329.736328125;125;86172.74669150001;0.0169525146484375;0.994140625;-0.0724029541015625;86172.7396425;-0.01065850331471513;0.005933789224805551;0.008074970741229258;86172.74147350001;50.07546997070312;51.09661865234375;-414.9165649414062;86172.7386655;2.242642325185252;0.1433659021032323;-1.494355809298793;-0.00260612741112709;-0.00241384981200099;-3.316439688205719e-06;0.006804674863815308;-0.002973318099975586;-0.001127243041992188;2;-0.3418340384960175;-0.5876720547676086;0.6378993988037109;0.3617669939994812;0.0109107494354248;0.9970798492431641;-0.07558209449052811;27.69704437255859;-2.707424163818359;29.31918334960938;2;86170.0171615;2;0;1556984806.204619;86169.65317600001;0;0.1453247;90.53242;3232235846;179021379;2;1;0.37;-16.27449;-29.08502;0
1556984808.939993;10;0;0;1556984803.98652;4.403301892085986;-75.1471950018358;963.3562;-1;-1;10;65;-9999;1556984808.934183;27.75007247924805;-2.611537933349609;29.2747802734375;322.9617309570312;329.7355651855469;125;86172.75670150001;0.016387939453125;0.993499755859375;-0.0709228515625;86172.7496825;-0.008966597074187788;0.007472297386544326;0.009556487255640338;86172.74147350001;50.07546997070312;51.09661865234375;-414.9165649414062;86172.74870550001;2.242759410547942;0.1434854948758647;-1.494358123118096;-4.399381577968597e-05;0.001598168630152941;0.0006854236125946045;0.005666911602020264;-0.003126144409179688;0.004453420639038086;2;-0.3418380618095398;-0.5876714587211609;0.6378992795944214;0.3617643117904663;0.01091938465833664;0.9970800280570984;-0.0755779892206192;27.75007247924805;-2.611537933349609;29.2747802734375;2;86170.0171615;2;0;1556984806.204619;86169.65317600001;0;0.1453247;90.53242;3232235846;179021379;2;1;0.37;-16.27449;-29.08502;0
